Source Name	Material Type	Term Source REF	Characteristics[OrganismPart]	Term Source REF	Characteristics[Organism]	Characteristics[DiseaseState]	Term Source REF	Characteristics[ClinicalInformation]	Characteristics[BioSourceProvider]	Description	Protocol REF	Sample Name	Material Type	Term Source REF	Protocol REF	Protocol REF	Extract Name	Material Type	Term Source REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[DISEASESTATE]	Term Source REF	Factor Value[CELLLINE]	Factor Value[CLINICALINFORMATION]	Factor Value[BIOSOURCEPROVIDER]	Factor Value[ORGANISMPART]	Term Source REF
DMS79 - Replicate 3	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Small Cell Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-2049	P-MTAB-1063	DMS79 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DMS79-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 237.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 237	A-AFFY-44	P-MTAB-1068	DMS 79_SS474801_HG-U133_Plus_2_HCHP-225912_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.6.zip	P-MTAB-1069	DMS 79_SS474801_HG-U133_Plus_2_HCHP-225912_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Small Cell Carcinoma	NCI Thesaurus	DMS79	ICDO: 34	ATCC	Lung	NCI Thesaurus
DMS79 - Replicate 2	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Small Cell Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-2049	P-MTAB-1063	DMS79 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DMS79-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 238.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 238	A-AFFY-44	P-MTAB-1068	DMS 79_SS474802_HG-U133_Plus_2_HCHP-225913_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.6.zip	P-MTAB-1069	DMS 79_SS474802_HG-U133_Plus_2_HCHP-225913_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Small Cell Lung Carcinoma	NCI Thesaurus	DMS79	ICDO: 34	ATCC	Lung	NCI Thesaurus
DMS79 - Replicate 1	Cell	The MGED Ontology	Lung	NCI Thesaurus	Homo sapiens	Small Cell Lung Carcinoma	NCI Thesaurus	ICDO: 34	ATCC	CatalogNumber: CRL-2049	P-MTAB-1063	DMS79 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DMS79-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 239.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 239	A-AFFY-44	P-MTAB-1068	DMS 79_SS474803_HG-U133_Plus_2_HCHP-225914_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.6.zip	P-MTAB-1069	DMS 79_SS474803_HG-U133_Plus_2_HCHP-225914_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Small Cell Lung Carcinoma	NCI Thesaurus	DMS79	ICDO: 34	ATCC	Lung	NCI Thesaurus
DOHH2 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	B-Cell Neoplasm	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 47	P-MTAB-1063	DOHH2 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DOHH2-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 240.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 240	A-AFFY-44	P-MTAB-1068	DOHH-2 _SS392645_HG-U133_Plus_2_HCHP-209521_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DOHH-2 _SS392645_HG-U133_Plus_2_HCHP-209521_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	B-Cell Neoplasm	NCI Thesaurus	DOHH2	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
DOHH2 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	B-Cell Neoplasm	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 47	P-MTAB-1063	DOHH2 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DOHH2-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 241.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 241	A-AFFY-44	P-MTAB-1068	DOHH-2 _SS392646_HG-U133_Plus_2_HCHP-209522_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DOHH-2 _SS392646_HG-U133_Plus_2_HCHP-209522_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	B-Cell Neoplasm	NCI Thesaurus	DOHH2	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
DOHH2 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	B-Cell Neoplasm	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 47	P-MTAB-1063	DOHH2 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DOHH2-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 242.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 242	A-AFFY-44	P-MTAB-1068	DOHH-2 _SS392647_HG-U133_Plus_2_HCHP-209523_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DOHH-2 _SS392647_HG-U133_Plus_2_HCHP-209523_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	B-Cell Neoplasm	NCI Thesaurus	DOHH2	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
DoTc2 - Replicate 3	Cell	The MGED Ontology	Cervix Uteri	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 53	ATCC	CatalogNumber: CRL-7920	P-MTAB-1063	DoTc2 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DoTc2-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 243.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 243	A-AFFY-44	P-MTAB-1068	DoTc2-4510_SS287001_HG-U133_Plus_2_HCHP-168823_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DoTc2-4510_SS287001_HG-U133_Plus_2_HCHP-168823_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	DoTc2	ICDO: 53	ATCC	Cervix Uteri	NCI Thesaurus
DoTc2 - Replicate 2	Cell	The MGED Ontology	Cervix Uteri	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 53	ATCC	CatalogNumber: CRL-7920	P-MTAB-1063	DoTc2 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DoTc2-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 244.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 244	A-AFFY-44	P-MTAB-1068	DoTc2-4510_SS287002_HG-U133_Plus_2_HCHP-168824_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DoTc2-4510_SS287002_HG-U133_Plus_2_HCHP-168824_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	DoTc2	ICDO: 53	ATCC	Cervix Uteri	NCI Thesaurus
DoTc2 - Replicate 1	Cell	The MGED Ontology	Cervix Uteri	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 53	ATCC	CatalogNumber: CRL-7920	P-MTAB-1063	DoTc2 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DoTc2-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 245.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 245	A-AFFY-44	P-MTAB-1068	DoTc2-4510_SS287003_HG-U133_Plus_2_HCHP-168825_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DoTc2-4510_SS287003_HG-U133_Plus_2_HCHP-168825_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	DoTc2	ICDO: 53	ATCC	Cervix Uteri	NCI Thesaurus
DU4475 - Replicate 1	Cell	The MGED Ontology	Breast	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 50	DSMZ	CatalogNumber: ACC 427	P-MTAB-1063	DU4475 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DU4475-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 246.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 246	A-AFFY-44	P-MTAB-1068	DU4475_SS331509_HG-U133_Plus_2_HCHP-172126_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DU4475_SS331509_HG-U133_Plus_2_HCHP-172126_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	DU4475	ICDO: 50	DSMZ	Breast	NCI Thesaurus
DU4475 - Replicate 2	Cell	The MGED Ontology	Breast	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 50	DSMZ	CatalogNumber: ACC 427	P-MTAB-1063	DU4475 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DU4475-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 247.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 247	A-AFFY-44	P-MTAB-1068	DU4475_SS331510_HG-U133_Plus_2_HCHP-172127_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DU4475_SS331510_HG-U133_Plus_2_HCHP-172127_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	DU4475	ICDO: 50	DSMZ	Breast	NCI Thesaurus
DU4475 - Replicate 3	Cell	The MGED Ontology	Breast	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 50	DSMZ	CatalogNumber: ACC 427	P-MTAB-1063	DU4475 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	DU4475-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 248.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 248	A-AFFY-44	P-MTAB-1068	DU4475_SS331511_HG-U133_Plus_2_HCHP-172128_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	DU4475_SS331511_HG-U133_Plus_2_HCHP-172128_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	DU4475	ICDO: 50	DSMZ	Breast	NCI Thesaurus
EB1 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 06	ATCC	CatalogNumber: HTB-60	P-MTAB-1063	EB1 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB1-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 249.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 249	A-AFFY-44	P-MTAB-1068	EB-1 _SS392797_HG-U133_Plus_2_HCHP-186906_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-1 _SS392797_HG-U133_Plus_2_HCHP-186906_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB1	ICDO: 06	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB1 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 06	ATCC	CatalogNumber: HTB-60	P-MTAB-1063	EB1 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB1-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 250.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 250	A-AFFY-44	P-MTAB-1068	EB-1 _SS392798_HG-U133_Plus_2_HCHP-186907_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-1 _SS392798_HG-U133_Plus_2_HCHP-186907_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB1	ICDO: 06	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB1 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 06	ATCC	CatalogNumber: HTB-60	P-MTAB-1063	EB1 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB1-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 251.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 251	A-AFFY-44	P-MTAB-1068	EB-1 _SS392799_HG-U133_Plus_2_HCHP-186908_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-1 _SS392799_HG-U133_Plus_2_HCHP-186908_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB1	ICDO: 06	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB2 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: HTB-61	P-MTAB-1063	EB2 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB2-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 252.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 252	A-AFFY-44	P-MTAB-1068	EB-2 _SS392749_HG-U133_Plus_2_HCHP-186903_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-2 _SS392749_HG-U133_Plus_2_HCHP-186903_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB2	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB2 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: HTB-61	P-MTAB-1063	EB2 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB2-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 253.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 253	A-AFFY-44	P-MTAB-1068	EB-2 _SS392750_HG-U133_Plus_2_HCHP-186904_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-2 _SS392750_HG-U133_Plus_2_HCHP-186904_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB2	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB2 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: HTB-61	P-MTAB-1063	EB2 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB2-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 254.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 254	A-AFFY-44	P-MTAB-1068	EB-2 _SS392751_HG-U133_Plus_2_HCHP-186905_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-2 _SS392751_HG-U133_Plus_2_HCHP-186905_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB2	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB3 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-85	P-MTAB-1063	EB3 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB3-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 255.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 255	A-AFFY-44	P-MTAB-1068	EB-3_SS239169_HG-U133_Plus_2_HCHP-165486_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-3_SS239169_HG-U133_Plus_2_HCHP-165486_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB3	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB3 - Replicate 2	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-85	P-MTAB-1063	EB3 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB3-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 256.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 256	A-AFFY-44	P-MTAB-1068	EB-3_SS239170_HG-U133_Plus_2_HCHP-165487_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-3_SS239170_HG-U133_Plus_2_HCHP-165487_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB3	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EB3 - Replicate 1	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Burkitt Lymphoma	NCI Thesaurus	ICDO: 42	ATCC	CatalogNumber: CCL-85	P-MTAB-1063	EB3 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EB3-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 257.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 257	A-AFFY-44	P-MTAB-1068	EB-3_SS239171_HG-U133_Plus_2_HCHP-165488_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EB-3_SS239171_HG-U133_Plus_2_HCHP-165488_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Burkitt Lymphoma	NCI Thesaurus	EB3	ICDO: 42	ATCC	Hematopoietic and Lymphatic System	NCI Thesaurus
EFM19 - Replicate 1	Cell	The MGED Ontology	Breast	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 50	DSMZ	CatalogNumber: ACC 231	P-MTAB-1063	EFM19 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EFM19-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 258.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 258	A-AFFY-44	P-MTAB-1068	EFM-19_SS335853_HG-U133_Plus_2_HCHP-172129_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EFM-19_SS335853_HG-U133_Plus_2_HCHP-172129_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	EFM19	ICDO: 50	DSMZ	Breast	NCI Thesaurus
EFM19 - Replicate 2	Cell	The MGED Ontology	Breast	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 50	DSMZ	CatalogNumber: ACC 231	P-MTAB-1063	EFM19 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EFM19-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 259.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 259	A-AFFY-44	P-MTAB-1068	EFM-19_SS335854_HG-U133_Plus_2_HCHP-172130_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EFM-19_SS335854_HG-U133_Plus_2_HCHP-172130_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	EFM19	ICDO: 50	DSMZ	Breast	NCI Thesaurus
EFM19 - Replicate 3	Cell	The MGED Ontology	Breast	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 50	DSMZ	CatalogNumber: ACC 231	P-MTAB-1063	EFM19 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EFM19-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 260.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 260	A-AFFY-44	P-MTAB-1068	EFM-19_SS335855_HG-U133_Plus_2_HCHP-172131_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EFM-19_SS335855_HG-U133_Plus_2_HCHP-172131_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	EFM19	ICDO: 50	DSMZ	Breast	NCI Thesaurus
EM2 - Replicate 3	Cell	The MGED Ontology	Hematopoietic and Lymphatic System	NCI Thesaurus	Homo sapiens	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	ICDO: 42	DSMZ	CatalogNumber: ACC 135	P-MTAB-1063	EM2 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	EM2-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 261.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 261	A-AFFY-44	P-MTAB-1068	EM-2_SS331517_HG-U133_Plus_2_HCHP-209470_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.7.zip	P-MTAB-1069	EM-2_SS331517_HG-U133_Plus_2_HCHP-209470_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Blast Phase Chronic Myelogenous Leukemia	NCI Thesaurus	EM2	ICDO: 42	DSMZ	Hematopoietic and Lymphatic System	NCI Thesaurus
